id,brand,model,cpu,gpu,ram_gb,ram_type,storage,display,refresh_rate_hz,weight_kg,battery_wh,ports,os,price_usd,release_year,category
LP001,Asus,ROG Strix G16 G614,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4070 8GB GDDR6,32,DDR5-5600,1TB NVMe PCIe 4.0 SSD,16-inch QHD+ (2560x1600) IPS,240,2.5,90,"2x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,1899,2024,Gaming
LP002,Lenovo,Legion Pro 7i,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,32,DDR5-5600,2TB NVMe PCIe 4.0 SSD,"16-inch WQXGA (2560x1600) IPS, Mini-LED",240,2.7,99,"1x USB-C (Thunderbolt 4), 1x USB-C (PD), 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,3199,2024,Gaming
LP003,Apple,MacBook Air 13 (M3),Apple M3 (8-core CPU),Apple M3 10-core integrated GPU,16,Unified Memory,512GB SSD,13.6-inch Liquid Retina (2560x1664) IPS,60,1.24,52.6,"2x USB-C (Thunderbolt/USB4), MagSafe 3, 3.5mm audio",macOS Sonoma,1099,2024,Ultrabook
LP004,Apple,MacBook Pro 16 (M3 Max),Apple M3 Max (16-core CPU),Apple M3 Max 40-core integrated GPU,36,Unified Memory,1TB SSD,16.2-inch Liquid Retina XDR (3456x2234) mini-LED,120,2.16,100,"3x USB-C (Thunderbolt 4), HDMI, SDXC, MagSafe 3, 3.5mm audio",macOS Sonoma,3499,2023,Workstation
LP005,Dell,XPS 13 9340,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,16,LPDDR5x-7467,512GB NVMe SSD,13.4-inch FHD+ (1920x1200) IPS touch,60,1.2,55,2x USB-C (Thunderbolt 4),Windows 11 Home,1299,2024,Ultrabook
LP006,HP,Pavilion 15,"AMD Ryzen 5 7430U (6-core, up to 4.3GHz)",AMD Radeon integrated graphics,8,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,60,1.75,41,"1x USB-C, 2x USB-A, HDMI 1.4, SD card reader, 3.5mm audio",Windows 11 Home,549,2023,Budget
LP007,Acer,Nitro 5 AN515-58,"Intel Core i5-12500H (12-core, up to 4.5GHz)",NVIDIA GeForce RTX 3050 4GB GDDR6,16,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.5,57.5,"1x USB-C, 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,799,2023,Gaming
LP008,ASUS,TUF Gaming A15,"AMD Ryzen 7 7735HS (8-core, up to 4.75GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-4800,1TB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.2,90,"1x USB-C, 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,999,2023,Gaming
LP009,Lenovo,ThinkPad X1 Carbon Gen 12,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,32,LPDDR5x-6400,1TB NVMe SSD,14-inch 2.8K (2880x1800) OLED touch,60,1.12,57,"2x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1",Windows 11 Pro,1899,2024,Business
LP010,MSI,Raider GE78 HX,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4080 12GB GDDR6,32,DDR5-5600,2TB NVMe SSD,17-inch QHD+ (2560x1600) IPS,240,3.0,99.9,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, mini-DisplayPort",Windows 11 Home,2899,2024,Gaming
LP011,Microsoft,Surface Laptop 6,Intel Core Ultra 7 165H (16-core),Intel Arc integrated graphics,16,LPDDR5x,512GB SSD,13.8-inch PixelSense (2304x1536) touch,60,1.34,49,"2x USB-C (Thunderbolt 4), 1x USB-A, Surface Connect, 3.5mm audio",Windows 11 Pro,1399,2024,Ultrabook
LP012,Razer,Blade 16 (2024),"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,32,DDR5-5600,2TB NVMe SSD,"16-inch UHD+ (3840x2400) Mini-LED, up to 240Hz dual mode",240,2.45,99.9,"2x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1, SD card reader",Windows 11 Home,3999,2024,Gaming
LP013,Acer,Aspire 3,"Intel Core i3-1215U (6-core, up to 4.4GHz)",Intel UHD integrated graphics,8,DDR4-3200,256GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,60,1.7,48,"1x USB-C, 2x USB-A, HDMI 1.4, 3.5mm audio",Windows 11 Home,399,2023,Budget
LP014,ASUS,ROG Zephyrus G14 (2024),"AMD Ryzen 9 8945HS (8-core, up to 5.2GHz)",NVIDIA GeForce RTX 4070 8GB GDDR6,32,LPDDR5x-7500,1TB NVMe SSD,14-inch QHD+ (2560x1600) OLED,120,1.65,73,"2x USB-C (USB4), 1x USB-A, HDMI 2.1, microSD",Windows 11 Home,1799,2024,Gaming
LP015,Dell,Inspiron 15 3520,"Intel Core i5-1235U (10-core, up to 4.4GHz)",Intel Iris Xe integrated graphics,8,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) TN,60,1.85,41,"1x USB-C, 2x USB-A, HDMI 1.4, SD card reader, 3.5mm audio",Windows 11 Home,549,2022,Budget
LP016,HP,Omen 16,"Intel Core i7-13700HX (16-core, up to 5.0GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-4800,1TB NVMe SSD,16.1-inch QHD (2560x1440) IPS,165,2.36,83,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,1349,2023,Gaming
LP017,Lenovo,IdeaPad Slim 5,"AMD Ryzen 7 7730U (8-core, up to 4.5GHz)",AMD Radeon integrated graphics,16,LPDDR5-6400,512GB NVMe SSD,14-inch 2.2K (2240x1400) IPS,60,1.4,57,"1x USB-C, 2x USB-A, HDMI 1.4, 3.5mm audio",Windows 11 Home,699,2023,Ultrabook
LP018,Gigabyte,AORUS 17X,"Intel Core i9-13980HX (24-core, up to 5.6GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,64,DDR5-5600,2TB NVMe SSD,17.3-inch QHD (2560x1440) IPS,240,3.06,99,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, mini-DisplayPort",Windows 11 Pro,3499,2023,Gaming
LP019,Apple,MacBook Air 15 (M2),Apple M2 (8-core CPU),Apple M2 10-core integrated GPU,8,Unified Memory,256GB SSD,15.3-inch Liquid Retina (2880x1864) IPS,60,1.51,66.5,"2x USB-C (Thunderbolt/USB4), MagSafe 3, 3.5mm audio",macOS Sonoma,1299,2023,Ultrabook
LP020,ASUS,VivoBook 15,"Intel Core i5-1335U (10-core, up to 4.6GHz)",Intel Iris Xe integrated graphics,16,DDR4-3200,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,60,1.7,42,"1x USB-C, 2x USB-A, HDMI 1.4, microSD, 3.5mm audio",Windows 11 Home,649,2023,Budget
LP021,Alienware,m18 R2,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,32,DDR5-5600,2TB NVMe SSD,18-inch QHD+ (2560x1600) IPS,165,3.7,97,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45, mini-DisplayPort",Windows 11 Home,3699,2024,Gaming
LP022,Samsung,Galaxy Book4 Pro,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,16,LPDDR5x-7467,512GB NVMe SSD,14-inch 2.8K (2880x1800) AMOLED touch,120,1.16,63,"2x USB-C (Thunderbolt 4), 3.5mm audio",Windows 11 Home,1449,2024,Ultrabook
LP023,Lenovo,Legion Slim 5,"AMD Ryzen 7 7840HS (8-core, up to 5.1GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-5600,1TB NVMe SSD,16-inch WQXGA (2560x1600) IPS,165,2.4,80,"1x USB-C (Thunderbolt 4), 1x USB-C, 2x USB-A, HDMI 2.1, RJ45",Windows 11 Home,1199,2023,Gaming
LP024,HP,Spectre x360 14,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,16,LPDDR5x-7467,1TB NVMe SSD,14-inch 2.8K (2880x1800) OLED touch,60,1.36,68,"2x USB-C (Thunderbolt 4), 1x USB-A, microSD, 3.5mm audio",Windows 11 Home,1649,2024,Ultrabook
LP025,ASUS,ROG Strix SCAR 18,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4090 16GB GDDR6,64,DDR5-5600,2TB NVMe SSD,18-inch WQXGA+ (2560x1600) IPS Nebula HDR,240,3.3,90,"1x USB-C (Thunderbolt 4), 1x USB-C, 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,3999,2024,Gaming
LP026,Acer,Swift Go 14,Intel Core Ultra 5 125H (14-core),Intel Arc integrated graphics,16,LPDDR5x-6400,512GB NVMe SSD,14-inch 2.8K (2880x1800) OLED,120,1.32,65,"1x USB-C (Thunderbolt 4), 1x USB-C, 1x USB-A, HDMI 2.1, 3.5mm audio",Windows 11 Home,899,2024,Ultrabook
LP027,MSI,Katana 15,"Intel Core i7-13620H (10-core, up to 4.9GHz)",NVIDIA GeForce RTX 4050 6GB GDDR6,16,DDR5-4800,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.25,53.5,"1x USB-C, 3x USB-A, HDMI 2.1, RJ45, 3.5mm audio",Windows 11 Home,999,2023,Gaming
LP028,Lenovo,ThinkPad T14 Gen 5,AMD Ryzen 7 PRO 8840HS (8-core),AMD Radeon integrated graphics,16,LPDDR5x-6400,512GB NVMe SSD,14-inch WUXGA (1920x1200) IPS,60,1.38,57,"2x USB-C (USB4), 2x USB-A, HDMI 2.1, RJ45",Windows 11 Pro,1399,2024,Business
LP029,ASUS,Zenbook 14 OLED,Intel Core Ultra 5 125H (14-core),Intel Arc integrated graphics,16,LPDDR5x-6400,512GB NVMe SSD,14-inch 2.8K (2880x1800) OLED touch,120,1.22,75,"2x USB-C (Thunderbolt 4), 1x USB-A, HDMI 2.1, microSD",Windows 11 Home,1099,2024,Ultrabook
LP030,Dell,Alienware x16 R2,"Intel Core i9-14900HX (24-core, up to 5.8GHz)",NVIDIA GeForce RTX 4080 12GB GDDR6,32,DDR5-5600,1TB NVMe SSD,16-inch QHD+ (2560x1600) IPS,240,2.85,90,"1x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1, RJ45",Windows 11 Home,2499,2024,Gaming
LP031,HP,Victus 15,"AMD Ryzen 5 7535HS (6-core, up to 4.55GHz)",NVIDIA GeForce RTX 3050 6GB GDDR6,8,DDR5-4800,512GB NVMe SSD,15.6-inch FHD (1920x1080) IPS,144,2.29,52.5,"1x USB-C, 2x USB-A, HDMI 1.4, RJ45, 3.5mm audio",Windows 11 Home,699,2023,Gaming
LP032,Lenovo,Yoga 9i,Intel Core Ultra 7 155H (16-core),Intel Arc integrated graphics,16,LPDDR5x-7467,1TB NVMe SSD,14-inch 2.8K (2880x1800) OLED touch,60,1.4,75,"2x USB-C (Thunderbolt 4), 1x USB-A, 3.5mm audio",Windows 11 Home,1599,2024,Ultrabook
LP033,Framework,Laptop 16,"AMD Ryzen 7 7840HS (8-core, up to 5.1GHz)",AMD Radeon RX 7700S 8GB GDDR6 (modular dGPU),32,DDR5-5600,1TB NVMe SSD,16-inch 2.5K (2560x1600) IPS,165,2.1,85,6x modular USB-C/USB-A/HDMI/DP/SD bays,Windows 11 Home / Linux,1899,2023,Gaming
LP034,Toshiba/Dynabook,Satellite Pro C40,"Intel Core i3-1115G4 (2-core, up to 4.1GHz)",Intel UHD integrated graphics,4,DDR4-2666,128GB eMMC,14-inch HD (1366x768) TN,60,1.6,42,"1x USB-C, 2x USB-A, HDMI 1.4, 3.5mm audio",Windows 11 Home (S mode),329,2022,Budget
LP035,ASUS,ROG Flow Z13 (2024),Intel Core Ultra 9 185H (16-core),NVIDIA GeForce RTX 4070 8GB GDDR6,32,LPDDR5x-7467,1TB NVMe SSD,13.4-inch 165Hz WUXGA (1920x1200) IPS touch (tablet form factor),165,1.18,70,"2x USB-C (Thunderbolt 4), 1x USB-A, microSD",Windows 11 Home,2199,2024,Gaming
LP036,Dell,Precision 5680,Intel Core i7-13700H (14-core),NVIDIA RTX 3500 Ada Generation 12GB,32,DDR5-5600,1TB NVMe SSD,16-inch 4K+ (3840x2400) IPS touch,60,1.84,86,"3x USB-C (Thunderbolt 4), 1x USB-A, SD card reader, HDMI 2.1",Windows 11 Pro,2999,2023,Workstation
LP037,Acer,Predator Helios Neo 16,"Intel Core i7-14700HX (20-core, up to 5.3GHz)",NVIDIA GeForce RTX 4060 8GB GDDR6,16,DDR5-5200,1TB NVMe SSD,16-inch WQXGA (2560x1600) IPS,165,2.6,90,"1x USB-C (Thunderbolt 4), 3x USB-A, HDMI 2.1, RJ45",Windows 11 Home,1399,2024,Gaming
LP038,Chuwi,HeroBook Pro,"Intel Celeron N4020 (2-core, up to 2.8GHz)",Intel UHD 600 integrated graphics,8,DDR4-2400,256GB SSD,14.1-inch FHD (1920x1080) IPS,60,1.38,38,"1x USB-C, 1x USB-A, mini-HDMI, microSD, 3.5mm audio",Windows 11 Home,259,2022,Budget
LP039,Google,Pixelbook Go style Chromebook Plus,Intel Core i3-1215U (6-core),Intel UHD integrated graphics,8,LPDDR4x,128GB eMMC,13.3-inch FHD (1920x1080) IPS touch,60,1.15,47,"2x USB-C, microSD, 3.5mm audio",ChromeOS,399,2023,Budget
LP040,MSI,Stealth 16 Studio,"Intel Core i9-13900H (14-core, up to 5.4GHz)",NVIDIA GeForce RTX 4070 8GB GDDR6,32,DDR5-5200,2TB NVMe SSD,"16-inch QHD+ (2560x1600) Mini-LED, 240Hz",240,2.1,99.9,"2x USB-C (Thunderbolt 4), 2x USB-A, HDMI 2.1, microSD",Windows 11 Home,2399,2023,Gaming
